id,date,polity,event,confidence,core_sources,modern_direction,cause,consequence,target
SA-0770-EAST,"前770年",东周,"平王东迁洛邑",可靠纪年,"史记·周本纪；竹书纪年；诗经小雅","东周初年合法性与西周崩溃研究","镐京危机与平王继位","周退为名分中心","common/chronology-770-632.tex"
SA-0722-CHUNQIU,"前722年",鲁,"鲁隐公元年，春秋经文开始",可靠纪年,"春秋·隐公元年","春秋经与鲁国档案研究","鲁国年表传承","提供春秋最稳定连续编年","states/lu-zheng-song/central-plains.tex"
SA-0770-QIN-ENFEOFF,"前770年前后",秦与东周,"秦襄公护送平王东迁并获封岐西",传统年表较可靠,"史记·秦本纪；周本纪","早期秦与关中边疆研究","东迁需护卫，周失去关中直接控制","秦取得关中经营的名分与任务","states/qin/western-rise.tex"
SA-0707-XUGE,"前707年",周与郑,"繻葛之战，王师败绩",可靠纪年,"春秋·桓公五年；左传桓公五年；史记·郑世家","左传叙事与王权衰落研究","周郑田地和权力冲突","王室军事权威受挫","common/chronology-770-632.tex"
SA-0704-CHU-KING,"约前704年",楚,"熊通自立为楚武王",传统年表较可靠,"史记·楚世家；左传相关追述","楚王号与夷夏政治语言研究","楚拥有江汉资源与独立政治能力","楚成为北方霸权必须面对的大国","states/chu/southern-power.tex"
SA-0685-QIHUAN,"前685年",齐,"齐桓公即位，管仲入齐",可靠纪年,"左传庄公九年；国语·齐语；史记·齐太公世家","管子文本层次与齐国组织研究","齐国内乱后权力重建","齐霸的组织基础","states/qi/hegemony.tex"
SA-0656-SHAOLING,"前656年",齐与楚,"召陵之盟",可靠纪年,"春秋僖公四年；左传僖公四年；国语·齐语","霸权外交与礼仪政治研究","齐主导联盟南下，楚与周礼关系争议","齐霸达到南向高点，楚未真正臣服","states/qi/hegemony.tex"
SA-0651-KUIQIU,"前651年",齐与诸侯,"葵丘之会",可靠纪年,"春秋僖公九年；左传僖公九年；史记","齐桓公霸权研究","齐会盟体系成熟","齐霸制度化顶点","states/qi/hegemony.tex"
SA-0643-QIHUAN-DEATH,"前643年",齐,"齐桓公死，诸子争位",可靠纪年,"左传僖公十七年；史记","霸权继承危机研究","齐霸个人与联盟依赖高","齐霸迅速衰落","states/qi/hegemony.tex"
SA-0636-JIN-WEN,"前636年",晋,"重耳返晋为文公",可靠纪年,"左传僖公二十四年；史记·晋世家","流亡者网络与霸权研究","长期流亡形成跨国关系","晋在城濮前获得联盟条件","states/jin/expansion-and-factions.tex"
SA-0632-CHENGPU,"前632年",晋与楚,"城濮之战",可靠纪年,"春秋僖公二十八年；左传僖公二十八年；史记晋世家楚世家","左传退三舍叙事研究","晋文公联盟与楚方政治条件","晋楚两极格局形成","common/chronology-770-632.tex"
SA-0627-XIAO,"前627年",秦与晋,"殽之战",可靠纪年,"左传僖公三十二、三十三年","秦晋关系与崤函地理研究","秦东进与郑国局势","秦暂受挫，晋秦关系转折","states/qin/western-rise.tex"
SA-0597-BI,"前597年",楚与晋,"邲之战",可靠纪年,"春秋宣公十二年；左传宣公十二年；史记楚世家","晋卿族与楚霸研究","晋内部指挥失衡，楚北上","楚庄王声望上升，晋楚均势改写","common/chronology-631-481.tex"
SA-0575-YANLING,"前575年",晋与楚,"鄢陵之战",可靠纪年,"春秋成公十六年；左传成公十六年","晋楚战争研究","邲后晋楚持续竞争","晋重新取得军事优势","states/jin/expansion-and-factions.tex"
SA-0546-MIBING,"前546年",晋楚宋等,"弭兵之会",可靠纪年,"春秋襄公二十七年；左传襄公二十七年","春秋外交与均势研究","晋楚资源耗竭，宋调停","大国暂时承认均势，卿族空间增加","common/chronology-631-481.tex"
SA-0514-WU-ZIXU,"前514年",吴,"阖闾即位，伍子胥入吴",较可靠,"左传昭公三十年；史记吴太伯世家","吴国政治与伍子胥叙事研究","吴国内部权力变化","吴向楚扩张的组织条件","states/wu-yue/lower-yangtze.tex"
SA-0506-BOJU,"前506年",吴与楚,"柏举之战，吴入郢",可靠纪年,"春秋定公四年；左传定公四年；史记吴太伯世家","孙子传统与吴楚战争研究","吴楚长期冲突、楚内部脆弱、吴越暂时妥协","吴达高峰但难持久","common/chronology-631-481.tex"
SA-0496-FUCHAI,"前496年",吴与越,"阖闾死，夫差即位",可靠纪年,"左传哀公元年；史记","吴越战争研究","吴越边境冲突","夫椒之战的直接前史","states/wu-yue/lower-yangtze.tex"
SA-0494-FUJIAO,"前494年",吴与越,"夫椒之战",可靠纪年,"左传哀公元年；国语吴语越语；史记","吴越材料的文学化研究","吴报阖闾之仇","越受困后重建，吴资源外溢","states/wu-yue/lower-yangtze.tex"
SA-0484-WUZIXU-DEATH,"前484年",吴,"伍子胥被迫自尽",较可靠,"左传哀公十一年；国语吴语；史记","多源互证的吴国政治危机","夫差与功臣关系破裂","吴失重要战略声音","states/wu-yue/lower-yangtze.tex"
SA-0482-HUANGCHI,"前482年",吴与晋等,"黄池之会",可靠纪年,"左传哀公十三年；史记","吴北上霸权与越乘虚研究","夫差追逐中原声望","越获得南方反攻机会","states/wu-yue/lower-yangtze.tex"
SA-0481-LIN,"前481年",鲁与齐,"获麟；田氏杀齐简公",可靠纪年,"春秋哀公十四年；左传；史记","春秋文本终点与田氏代齐研究","鲁国编年与齐内部家族斗争","春秋传统终点，战国因素显现","states/lu-zheng-song/central-plains.tex"
SA-0473-WU-FALL,"前473年",越与吴,"越灭吴",通常采用的年代,"史记越王勾践世家；国语越语；竹书纪年","473/475年代讨论；吴越叙事研究","越长期重建，吴过度北上","吴退出，越短暂强盛，旧霸权系统结束","states/wu-yue/lower-yangtze.tex"
